index,count,mean,std,min,25%,50%,75%,max
 Destination Port,2830743.0,8071.482501237308,18283.63217250915,0.0,53.0,80.0,443.0,65535.0
 Flow Duration,2830743.0,14785663.929521684,33653744.08584924,-13.0,155.0,31316.0,3204828.5,119999998.0
 Total Fwd Packets,2830743.0,9.361159949878884,749.6727925003223,1.0,2.0,2.0,5.0,219759.0
 Total Backward Packets,2830743.0,10.393770116185044,997.3882688965692,0.0,1.0,2.0,4.0,291922.0
Total Length of Fwd Packets,2830743.0,549.3024145957439,9993.589229422663,0.0,12.0,62.0,187.0,12900000.0
 Total Length of Bwd Packets,2830743.0,16162.64254649751,2263088.051709916,0.0,0.0,123.0,482.0,655453030.0
 Fwd Packet Length Max,2830743.0,207.59994107554093,717.1848417601889,0.0,6.0,37.0,81.0,24820.0
 Fwd Packet Length Min,2830743.0,18.713656096650244,60.33934535104279,0.0,0.0,2.0,36.0,2325.0
 Fwd Packet Length Mean,2830743.0,58.20193852812377,186.0911565512467,0.0,6.0,34.0,50.0,5940.857143
 Fwd Packet Length Std,2830743.0,68.91013354422385,281.18709208008545,0.0,0.0,0.0,26.1629509,7125.5968458437
Bwd Packet Length Max,2830743.0,870.849454719132,1946.3673768694016,0.0,0.0,79.0,280.0,19530.0
 Bwd Packet Length Min,2830743.0,41.049579209416045,68.86260264672786,0.0,0.0,0.0,77.0,2896.0
 Bwd Packet Length Mean,2830743.0,305.9492813499285,605.2568001462415,0.0,0.0,72.0,181.0,5800.5
 Bwd Packet Length Std,2830743.0,335.3257206074605,839.6932176998566,0.0,0.0,0.0,77.9405367747,8194.660487
Flow Bytes/s,2829385.0,inf,,-261000000.0,119.3197311,4595.549126,166666.6667,inf
 Flow Packets/s,2830743.0,inf,,-2000000.0,3.44622571255,110.6684374,23255.81395,inf
 Flow IAT Mean,2830743.0,1298448.7086653905,4507944.173802522,-13.0,63.66666667,11438.84211,337426.6,120000000.0
 Flow IAT Std,2830743.0,2919270.918754881,8045869.779675644,0.0,0.0,137.1787156,691266.2815,84800261.5664079
 Flow IAT Max,2830743.0,9182475.317050682,24459539.250851564,-13.0,123.0,30865.0,2440145.0,120000000.0
 Flow IAT Min,2830743.0,162379.56178430893,2950281.77682374,-14.0,3.0,4.0,64.0,120000000.0
Fwd IAT Total,2830743.0,14482961.734189222,33575811.6465154,0.0,0.0,43.0,1242843.5,120000000.0
 Fwd IAT Mean,2830743.0,2610192.9735423243,9525722.48527829,0.0,0.0,26.0,206306.35835,120000000.0
 Fwd IAT Std,2830743.0,3266957.2220508326,9639055.400380436,0.0,0.0,0.0,65989.821745,84602929.2769822
